                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,unique,pop_2023,pop_2020,pop_estimate_2021,pop_over_500k_2021,home_2023,img_rate,imgrate10,immigration_2020,poverty_2020,pov_over_10,violent_crime_rate_2019,vcrime10,ESTIMATESBASE2020,pop_estimate_2020,pop_estimate_2021,NPOPCHG2020,NPOPCHG2021,births_2020,births_2021,deaths_2020,deaths_2021,NATURALCHG2020,NATURALCHG2021,int_mig_2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,shrinking,RESIDUAL2020,RESIDUAL2021,total_pop,total_male_pop,total_female_pop,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
303,"San Angelo, TX MSA","120,606","121,516",122344,0,,0.06,0,"7,310",12.1,1,398,0,122888,123010,122344,122,-666,392,1521,324,1298,68,223,8,-4,46,-886,54,-890,1,0,1,"121,519","60,834",60685,54815,55169,2928,2418,699,688,853,956,118,94,1421,1360,56105,56410,3580,3024,1115,1084,1292,1392,224,228,37085,36929,32618,32910,2457,1940,214,235,749,821,76,68,971,955,33505,33780,2903,2367,452,467,1088,1167,150,179,23749,23756,22197,22259,471,478,485,453,104,135,42,26,450,405,22600,22630,677,657,663,617,204,225,74,49
304,"San Antonio-New Braunfels, TX","2,703,999","2,558,143",2601788,1,,0.12,1,"299,578",14.2,1,13166,1,2558143,2566683,2601788,8540,35105,7498,30857,5583,22559,1915,8298,74,962,6422,25660,6496,26622,0,129,185,"2,558,115","1,271,603",1286512,1081128,1093949,105199,101579,15285,14854,36012,41688,2822,2934,31157,31508,1109045,1122061,118474,115302,24821,24647,48344,53862,4883,5100,585026,583185,436160,432887,91223,86990,3414,3430,32304,37727,1543,1637,20382,20514,454336,451052,100077,96124,8392,8579,41332,46551,2759,2973,686577,703327,644968,661062,13976,14589,11871,11424,3708,3961,1279,1297,10775,10994,654709,671009,18397,19178,16429,16068,7012,7311,2124,2127
305,"San Diego-Chula Vista-Carlsbad, CA","3,269,973","3,298,634",3286069,1,,0.23,1,"742,955",10.9,1,11417,1,3298634,3297252,3286069,-1382,-11183,9284,37107,6314,26463,2970,10644,-112,718,-4293,-22867,-4405,-22149,1,53,322,"3,298,648","1,670,897",1627751,1257373,1211014,99333,83834,22578,21113,201212,223306,9959,9720,80442,78764,1328718,1280671,123497,107835,38682,37366,249013,269765,19330,19062,1111289,1067905,761026,714225,85712,70039,7320,6637,190287,212013,7188,6922,59756,58069,813739,765289,103729,87819,15923,15394,228647,248989,14094,13771,559608,559846,496347,496789,13621,13795,15258,14476,10925,11293,2771,2798,20686,20695,514979,515382,19768,20016,22759,21972,20366,20776,5236,5291
306,"San Francisco-Oakland-Berkeley, CA","4,566,961","4,749,008",4623264,1,,0.31,1,"1,450,820",8.53,0,22317,1,4749008,4739649,4623264,-9359,-116385,11879,46755,8558,37703,3321,9052,278,4985,-12995,-128870,-12717,-123885,1,37,-1552,"115,981","57,365",58616,51603,52720,3697,3656,166,191,325,438,29,37,1545,1574,53097,54236,4830,4793,503,551,469,580,60,76,54582,56155,49232,50694,3556,3518,116,145,304,413,11,15,1363,1370,50554,52015,4563,4511,393,451,431,538,38,50,2783,2461,2371,2026,141,138,50,46,21,25,18,22,182,204,2543,2221,267,282,110,100,38,42,22,26
307,"San Jose-Sunnyvale-Santa Clara, CA","1,945,767","2,000,468",1952185,1,,0.39,1,"786,241",7.24,0,6508,1,2000468,1995105,1952185,-5363,-42920,5227,20609,2970,13405,2257,7204,47,3520,-7763,-52932,-7716,-49412,1,96,-712,4748982,2369455,2379527,1381892,1328668,183566,187683,25507,23101,635725,695612,18988,19746,123777,124717,1489435,1436585,220408,225728,51033,49909,713472,772728,32846,34093,1817578,1845850,916659,878639,166058,170113,5435,5286,619252,679395,15538,16597,94636,95820,998270,960886,194051,199244,18459,19784,683895,743469,26236,27757,551877,533677,465233,450029,17508,17570,20072,17815,16473,16217,3450,3149,29141,28897,491165,475699,26357,26484,32574,30125,29577,29259,6610,6336
308,"San Luis Obispo-Paso Robles, CA","281,639","282,424",283159,0,,0.09,0,"26,721",11.1,1,630,0,282424,282231,283159,-193,928,626,2357,687,2671,-61,-314,0,-24,-110,1233,-110,1209,0,-22,33,"2,000,489","1,020,078",980411,541793,511293,29963,26329,12966,12308,386050,383913,5227,5100,44079,41468,581400,548450,39202,35195,21875,21029,416011,411817,9860,9511,753040,720966,309957,286329,25023,21565,2130,2014,379123,376687,3874,3825,32933,30546,339509,313666,31876,28073,6706,6538,403197,398766,7295,7068,267038,259445,231836,224964,4940,4764,10836,10294,6927,7226,1353,1275,11146,10922,241891,234784,7326,7122,15169,14491,12814,13051,2565,2443
309,"Sandusky, OH MSA","113,838",115986,,,,,0,n/a,11.9,1,,0,,,,,,,,,,,,,,,,,,0,,,282443,142999,139444,125953,124735,3813,1628,2087,2000,5578,5805,278,241,5290,5035,130880,129409,4936,2719,3982,3889,8108,8176,720,664,107797,106810,94750,95939,3352,1229,675,662,5010,5239,187,181,3823,3560,98335,99254,4206,2034,1723,1700,7078,7148,525,497,35202,32634,31203,28796,461,399,1412,1338,568,566,91,60,1467,1475,32545,30155,730,685,2259,2189,1030,1028,195,167
310,"Santa Cruz-Watsonville, CA","261,547","270,861",267792,0,,0.17,1,"46,723",11.9,1,1106,1,270861,270353,267792,-508,-2561,590,2258,465,2226,125,32,-5,-6,-623,-2596,-628,-2602,1,-5,9,270870,135178,135692,117549,117701,2241,1800,2778,2645,6541,7373,306,245,5763,5928,122878,123178,3586,3210,4774,4722,9446,10357,861,779,87590,89068,75489,76392,1570,1146,561,502,5791,6640,191,147,3988,4241,79175,80307,2519,2176,1568,1653,8075,9040,601,555,47588,46624,42060,41309,671,654,2217,2143,750,733,115,98,1775,1687,43703,42871,1067,1034,3206,3069,1371,1317,260,224
311,"Santa Fe, NM MSA","155,956","154,823",155201,0,,0.12,1,"18,677",13,1,,0,154823,154977,155201,154,224,271,1140,351,1542,-80,-402,4,100,249,526,253,626,0,-19,0,"154,821","75,282",79539,67900,71953,1120,842,3330,3421,1144,1458,167,130,1621,1735,69410,73568,1461,1211,4299,4468,1586,1927,265,210,38359,42000,33627,36979,861,548,1929,2120,994,1281,50,30,898,1042,34458,37944,1060,792,2403,2697,1286,1603,109,77,36923,37539,34273,34974,259,294,1401,1301,150,177,117,100,723,693,34952,35624,401,419,1896,1771,300,324,156,133
312,"Santa Maria-Santa Barbara, CA","441,257","448,229",446475,0,,0.22,1,"98,821",12.9,1,,0,448229,448096,446475,-133,-1621,1419,5303,909,3632,510,1671,7,91,-653,-3418,-646,-3327,1,3,35,448220,225019,223201,191748,190209,6000,4717,5085,4837,12710,14043,672,557,8804,8838,199814,198333,8228,6952,8129,7975,17095,18385,1452,1313,117883,119871,95370,97203,4432,3331,960,875,11277,12610,436,359,5408,5493,100295,102220,5897,4815,2195,2255,14414,15729,949,851,107136,103330,96378,93006,1568,1386,4125,3962,1433,1433,236,198,3396,3345,99519,96113,2331,2137,5934,5720,2681,2656,503,462
313,"Santa Rosa-Petaluma, CA","481,812","488,863",485887,0,,0.16,1,"79,574",8.8,0,2016,1,488863,488345,485887,-518,-2458,1140,4290,1144,4933,-4,-643,-13,8,-468,-1888,-481,-1880,1,-33,65,"488,850","240,599",248251,208281,214042,5440,4746,5721,5539,10161,12434,870,1141,10126,10349,217708,223635,8133,7494,9567,9576,14608,16926,1918,2220,167945,179583,145065,154219,4186,3601,1625,1755,9320,11642,635,930,7114,7436,151672,161100,6178,5691,3682,4053,12878,15282,1418,1757,72654,68668,63216,59823,1254,1145,4096,3784,841,792,235,211,3012,2913,66036,62535,1955,1803,5885,5523,1730,1644,500,463
314,"Savannah, GA MSA","424,935","404,798",410008,0,,0.06,0,"25,945",12.8,1,,0,404798,405053,410008,255,4955,1157,4800,941,3955,216,845,5,241,31,3885,36,4126,0,3,-16,404803,196823,207980,120650,123089,64872,72931,931,777,5288,5603,288,338,4794,5242,124840,127618,67639,76110,2168,2099,6776,7172,512,618,181032,193263,108327,111524,62853,71041,518,483,5061,5432,207,274,4066,4509,111869,115406,65194,73788,1475,1551,6425,6868,400,497,15791,14717,12323,11565,2019,1890,413,294,227,171,81,64,728,733,12971,12212,2445,2322,693,548,351,304,112,121
315,"Scranton--Wilkes-Barre, PA","569,413","567,559",567750,1,,0.07,0,"39,810",14.1,1,2220,1,567559,566574,567750,-985,1176,1322,5325,2105,8059,-783,-2734,8,475,-175,3402,-167,3877,0,-35,33,"567,603","281,147",286456,250548,258649,17418,14553,1582,1461,5735,6051,229,220,5635,5522,255838,263848,21183,18296,2785,2636,6865,7163,449,389,247514,254347,225803,235162,11945,9108,341,335,5310,5703,65,67,4050,3972,229637,238923,14542,11674,1092,1080,6244,6640,213,188,33633,32109,24745,23487,5473,5445,1241,1126,425,348,164,153,1585,1550,26201,24925,6641,6622,1693,1556,621,523,236,201
316,"Seattle-Tacoma-Bellevue, WA","4,044,837","4,018,762",4011553,1,,0.20,1,"796,546",8.42,0,,0,4018762,4024730,4011553,5968,-13177,11097,42924,7955,32189,3142,10735,423,7320,2248,-31489,2671,-24169,1,155,257,4018797,2029765,1989032,1419667,1375411,141341,124343,27006,26070,301868,324413,20485,20064,119398,118731,1526472,1481979,184068,166222,56857,57238,363123,384489,33344,32895,1795423,1773294,1230918,1202945,131891,115176,15544,15941,296000,318770,18871,18608,102199,101854,1322566,1294543,167971,150706,37966,39939,350639,372108,29832,29404,234342,215738,188749,172466,9450,9167,11462,10129,5868,5643,1614,1456,17199,16877,203906,187436,16097,15516,18891,17299,12484,12381,3512,3491
317,"Sebastian-Vero Beach, FL","169,795","159,788",163662,0,,0.10,1,"16,474",10.3,1,352,0,159788,160345,163662,557,3317,280,1237,633,2563,-353,-1326,1,129,941,4566,942,4695,0,-32,-52,"159,791","77,138",82653,66804,71653,7323,7836,369,405,1334,1369,48,44,1260,1346,67946,72867,7977,8531,733,792,1654,1713,130,130,66644,72328,57230,62146,6892,7461,160,219,1267,1313,27,32,1068,1157,58194,63185,7438,8041,466,552,1552,1631,99,108,10494,10325,9574,9507,431,375,209,186,67,56,21,12,192,189,9752,9682,539,490,267,240,102,82,31,22
318,"Sebring, FL MSA","107,614",101235,103296,0,,0.11,1,"11,216",16,1,280,0,101235,101222,103296,-13,2074,177,784,524,1880,-347,-1096,10,115,350,3098,360,3213,0,-26,-43,"101,239","49,512",51727,42196,43762,5223,5740,333,357,732,899,55,53,973,916,43072,44585,5745,6249,640,640,925,1084,129,107,38494,41805,32163,34740,4715,5272,202,226,664,847,24,29,726,691,32802,35354,5098,5643,440,439,818,1004,81,74,11018,9922,10033,9022,508,468,131,131,68,52,31,24,247,225,10270,9231,647,606,200,201,107,80,48,33
319,"Sheboygan, WI MSA","117,752","118,034",117747,0,,0.06,0,"7,092",6.97,0,207,0,118034,117937,117747,-97,-190,292,1158,349,1353,-57,-195,0,26,-35,-43,-35,-17,1,-5,22,"118,032","59,953",58079,53125,52172,1765,977,367,339,3559,3488,34,29,1103,1074,54177,53202,2329,1522,678,635,3861,3782,80,65,55464,53936,49062,48421,1658,894,247,202,3525,3448,23,21,949,950,49974,49333,2148,1388,481,433,3801,3720,59,54,4489,4143,4063,3751,107,83,120,137,34,40,11,8,154,124,4203,3869,181,134,197,202,60,62,21,11
320,"Sherman-Denison, TX","146,907","135,543",139336,0,,0.07,0,"9,157",12,1,342,0,135543,136014,139336,471,3322,396,1500,420,1806,-24,-306,2,14,494,3655,496,3669,0,-1,-41,"135,543","66,567",68976,58208,60405,4147,4214,1281,1294,954,1034,53,68,1924,1961,60024,62256,5017,5099,2075,2109,1311,1394,113,141,55850,58909,48452,51244,3912,3966,894,958,914,993,35,45,1643,1703,49998,52853,4687,4759,1526,1630,1241,1319,85,106,10717,10067,9756,9161,235,248,387,336,40,41,18,23,281,258,10026,9403,330,340,549,479,70,75,28,35
321,"Shreveport-Bossier City, LA","383,295","393,406",389155,0,,0.03,0,"10,652",20.9,1,2225,1,393406,392525,389155,-881,-3370,1166,4893,1164,5082,2,-189,-3,118,-880,-3298,-883,-3180,1,0,-1,"393,409","189,834",203575,108266,109878,73770,85155,1169,1311,2713,3221,174,172,3742,3838,111471,113150,75879,87357,2419,2577,3810,4309,362,374,179715,194385,100023,102598,72868,84184,861,956,2526,3068,122,128,3315,3451,102856,105550,74756,86173,1914,2034,3516,4066,274,308,10119,9190,8243,7280,902,971,308,355,187,153,52,44,427,387,8615,7600,1123,1184,505,543,294,243,88,66
322,"Sierra Vista-Douglas, AZ","124,640","125,447",126050,0,,0.11,1,"13,535",15.2,1,275,0,125447,125398,126050,-49,652,283,1291,404,1582,-121,-291,7,57,77,875,84,932,0,-12,11,"125,445","64,107",61338,55912,53638,3424,2428,1227,1034,1119,1777,273,249,2152,2212,57800,55589,4195,3248,2003,1834,1983,2616,508,503,42604,40125,36255,34106,3007,2050,564,474,983,1636,188,194,1607,1665,37672,35582,3623,2696,1048,990,1685,2309,350,379,21503,21213,19657,19532,417,378,663,560,136,141,85,55,545,547,20128,20007,572,552,955,844,298,307,158,124
323,"Sioux City, IA-NE-SD MSA","144,402","144,334",149265,0,,0.11,1,"15,940",12.1,1,452,0,149940,149743,149265,-197,-478,508,1978,483,1549,25,429,4,156,-229,-1079,-225,-923,1,3,16,"144,344","72,728",71616,61957,61808,4056,3163,2169,2241,2153,2109,419,352,1974,1943,63797,63628,5062,4135,2919,2991,2591,2549,523,465,58069,58064,49266,50068,3816,2947,1028,1131,2039,2013,371,321,1549,1584,50729,51565,4646,3760,1512,1659,2413,2395,444,409,14659,13552,12691,11740,240,216,1141,1110,114,96,48,31,425,359,13068,12063,416,375,1407,1332,178,154,79,56
324,"Sioux Falls, SD-MN MSA","304,555","286,434",281958,0,,0.06,0,"18,281",8.21,0,5,0,276730,277458,281958,728,4500,966,3623,679,2313,287,1310,26,496,405,2678,431,3174,0,10,16,"286,400","144,890",141510,127314,125581,7948,6346,3340,3310,2686,2857,185,114,3417,3302,130490,128663,9572,7908,4627,4571,3476,3602,319,246,137306,134646,121094,120114,7832,6227,2597,2459,2629,2807,75,45,3079,2994,123966,122921,9313,7661,3697,3554,3362,3494,191,147,7584,6864,6220,5467,116,119,743,851,57,50,110,69,338,308,6524,5742,259,247,930,1017,114,108,128,99
325,"Slidellâ€“Mandevilleâ€“Covington, LA MSA","275,583","264,570",,,,0.00,0,,16.9,1,,0,,,,,,,,,,,,,,,,,,0,,,"264,571","129,761",134810,108186,111153,16392,17899,785,803,1783,2165,49,89,2566,2701,110504,113549,17687,19263,1681,1828,2539,2948,162,207,118962,124868,98477,102424,15948,17452,594,626,1700,2021,29,44,2214,2301,100499,104477,17063,18632,1307,1425,2366,2701,118,139,10799,9942,9709,8729,444,447,191,177,83,144,20,45,352,400,10005,9072,624,631,374,403,173,247,44,68
326,"South Bend-Mishawaka, IN-MI","324,490",324501,323695,0,,0.06,0,"19,067",14.3,1,,0,324501,324112,323695,-389,-417,976,3740,956,3850,20,-110,4,242,-409,-605,-405,-363,1,-4,56,324513,159704,164809,130012,133031,19404,21162,1102,1089,3769,4054,133,142,5284,5331,134996,138022,22838,24593,2435,2486,4819,5150,316,340,144757,151115,117135,121395,18513,20241,663,709,3650,3931,83,90,4713,4749,121590,125846,21591,23344,1757,1870,4614,4911,240,252,14947,13694,12877,11636,891,921,439,380,119,123,50,52,571,582,13406,12176,1247,1249,678,616,205,239,76,88
327,"Spartanburg, SC MSA","383,327","355,241",335864,0,289.8,0.07,0,"24,017",14.4,1,1599,1,327997,329364,335864,1367,6500,939,3878,971,3957,-32,-79,7,122,1388,6510,1395,6632,0,4,-53,"355,232","173,099",182133,128446,131847,35839,40932,906,765,4103,4585,119,156,3686,3848,131814,135309,38241,43505,1836,1778,4865,5351,273,305,158195,168891,115677,120652,34858,39948,398,350,3952,4437,76,97,3234,3407,118646,123731,36984,42236,1147,1192,4635,5122,194,221,14904,13242,12769,11195,981,984,508,415,151,148,43,59,452,441,13168,11578,1257,1269,689,586,230,229,79,84
328,"Spokane-Spokane Valley, WA","600,292","585,784",593466,1,,0.05,0,"29,066",12.9,1,2148,1,585784,587266,593466,1482,6200,1637,5881,1611,6408,26,-527,-1,116,1461,6598,1460,6714,0,-4,13,"585,790","292,786",293004,259470,260524,6633,4611,6283,6284,6053,7340,1801,1688,12546,12557,271229,272314,11114,8999,10854,11127,10499,11636,2904,2717,273686,275110,244204,246251,6150,4219,4843,4934,5794,7099,1680,1567,11015,11040,254553,256648,10091,8104,8568,8936,9866,11010,2664,2473,19100,17894,15266,14273,483,392,1440,1350,259,241,121,121,1531,1517,16676,15666,1023,895,2286,2191,633,626,240,244
329,"Springfield, IL MSA","205,445","208,640",206898,0,163.2,0.03,0,"6,033",13.6,1,1205,1,208640,208277,206898,-363,-1379,537,2103,617,2607,-80,-504,-2,87,-276,-993,-278,-906,1,-5,31,"208,636","100,902",107734,83468,88679,12358,13728,286,273,2144,2251,38,34,2608,2769,85941,91268,14186,15714,727,803,2682,2795,123,108,98216,104972,81281,86344,12162,13563,196,211,2109,2227,30,29,2438,2598,83591,88773,13880,15440,583,681,2625,2753,109,98,2686,2762,2187,2335,196,165,90,62,35,24,8,5,170,171,2350,2495,306,274,144,122,57,42,14,10
330,"Springfield, MA MSA","460,291","465,825",695305,1,336.2,0.13,1,"60,207",14.1,1,3294,1,699162,697960,695305,-1202,-2655,1508,6115,2005,8025,-497,-1910,46,639,-733,-1489,-687,-850,1,-18,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,"Springfield, MO MSA","491,053","475,432",481483,0,240.6,0.03,0,"13,829",14.5,1,2976,1,475432,476128,481483,696,5355,1308,5442,1353,5445,-45,-3,1,159,742,5190,743,5349,0,-2,9,"475,433","234,142",241291,215112,222810,6849,5093,1904,2073,3478,4627,240,241,6559,6447,221383,228986,9799,7974,4491,4676,4870,5974,500,494,224253,231908,206950,215181,6498,4788,1417,1443,3344,4509,204,202,5840,5785,212562,220742,9166,7429,3611,3676,4621,5741,425,420,9889,9383,8162,7629,351,305,487,630,134,118,36,39,719,662,8821,8244,633,545,880,1000,249,233,75,74
332,"Springfield, OH MSA","134,610","136,001",135633,0,,0.02,0,"2,940",15.3,1,330,0,136001,135719,135633,-282,-86,348,1548,543,2032,-195,-484,-1,33,-79,343,-80,376,0,-7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,"St. Cloud, MN MSA","202,577","199,671",200406,0,,0.06,0,"12,711",11.3,1,371,0,199671,199687,200406,16,719,649,2443,481,1794,168,649,8,318,-163,-286,-155,32,0,3,38,"199,672","101,029",98643,87903,86700,8336,7224,536,456,2044,2136,110,126,2100,2001,89890,88592,9462,8273,1033,955,2699,2744,191,189,96726,94842,84288,83517,8137,7049,327,281,1989,2070,84,83,1901,1842,86095,85264,9162,8020,731,704,2609,2653,151,142,4303,3801,3615,3183,199,175,209,175,55,66,26,43,199,159,3795,3328,300,253,302,251,90,91,40,47
334,"St. George, UT MSA","202,452","180,279",191226,0,537.6,0.06,0,"10,425",9.96,0,299,0,180279,181924,191226,1645,9302,522,2138,441,1901,81,237,-1,-1,1569,9205,1568,9204,0,-4,-139,"180,275","89,822",90453,83549,84256,940,673,1480,1558,819,1205,916,774,2118,1987,85472,86088,1458,1174,2172,2261,1559,1869,1466,1251,79254,80603,74474,75708,676,474,839,944,702,1112,798,712,1765,1653,76072,77226,1104,886,1323,1439,1368,1713,1305,1160,10568,9850,9075,8548,264,199,641,614,117,93,118,62,353,334,9400,8862,354,288,849,822,191,156,161,91
335,"St. Joseph, MO-KS MSA","118,475","121,467",120424,0,,0.03,0,"3,704",14,1,511,0,121467,121181,120424,-286,-757,356,1417,417,1555,-61,-138,1,45,-222,-670,-221,-625,1,-4,6,121471,62253,59218,55015,54101,4241,2092,460,426,772,862,230,228,1535,1509,56476,55544,5149,3024,937,869,993,1068,286,278,58716,56296,52058,51684,4065,1962,302,273,713,819,200,187,1378,1371,53372,52998,4886,2823,706,656,915,1004,246,230,3537,2922,2957,2417,176,130,158,153,59,43,30,41,157,138,3104,2546,263,201,231,213,78,64,40,48
336,"St. Louis, MO-IL MSA","2,796,999","2,820,253",2809299,1,254.4,0.05,0,"135,239",10.7,1,,0,2820253,2818267,2809299,-1986,-8968,7634,30080,8382,33414,-748,-3334,68,1437,-1266,-7277,-1198,-5840,1,-40,206,2820285,1377275,1443010,1062784,1083461,239133,281239,4316,4160,39238,42061,676,601,31128,31488,1091356,1112111,256419,299049,12232,12484,49064,51764,1925,1803,1322380,1392072,1015551,1039950,235987,278114,2890,2929,38766,41595,506,473,28680,29011,1041919,1066364,251924,294605,9794,10207,48051,50746,1581,1497,54895,50938,47233,43511,3146,3125,1426,1231,472,466,170,128,2448,2477,49437,45747,4495,4444,2438,2277,1013,1018,344,306
337,"State College, PA MSA","157,795","158,172",157527,0,,0.08,0,"13,219",17.8,1,200,0,158172,157929,157527,-243,-402,289,1006,287,1328,2,-322,10,272,-258,-384,-248,-112,1,3,32,"158,163","83,485",74678,72473,66403,4050,2089,143,134,5299,4666,72,66,1448,1320,73811,67618,4632,2638,474,411,5979,5271,134,126,80383,72213,69975,64378,3830,1907,62,86,5248,4619,58,52,1210,1171,71103,65462,4292,2368,297,305,5863,5193,108,103,3102,2465,2498,2025,220,182,81,48,51,47,14,14,238,149,2708,2156,340,270,177,106,116,78,26,23
338,"Staunton, VA","127,344","125,433",125774,0,,0.03,0,"4,297",10.7,1,210,0,125433,125591,125774,158,183,308,1149,427,1673,-119,-524,4,87,279,617,283,704,0,-6,3,"125,434","62,033",63401,54377,56532,5353,4363,235,205,556,751,27,25,1485,1525,55784,57970,6324,5386,616,579,811,999,60,64,59041,60657,52013,54308,5089,4086,156,149,518,728,15,14,1250,1372,53202,55603,5912,5018,432,455,751,963,41,51,2992,2744,2364,2224,264,277,79,56,38,23,12,11,235,153,2582,2367,412,368,184,124,60,36,19,13
339,"Stockton, CA","800,965","779,233",789410,1,,0.24,1,"186,647",13.7,1,5952,1,779233,780517,789410,1284,8893,2536,9682,1880,7059,656,2623,-2,148,601,6051,599,6199,0,29,71,"779,230","390,792",388438,255944,251118,32598,32593,8161,7760,69050,71940,3481,3234,21558,21793,274236,269543,39201,39338,14577,14367,81076,84032,5898,5709,224504,228992,115306,116976,28018,27858,1667,1686,62950,65853,2612,2376,13951,14243,127071,128928,32440,32415,4551,4797,71580,74565,4217,4073,166288,159446,140638,134142,4580,4735,6494,6074,6100,6087,869,858,7607,7550,147165,140615,6761,6923,10026,9570,9496,9467,1681,1636
340,"Sumter, SC MSA","104,165",105556,135782,0,,0.03,0,"3,506",19,1,1006,1,136700,136510,135782,-190,-728,421,1630,483,1817,-62,-187,7,32,-132,-580,-125,-548,1,-3,7,"105,548","50,816",54732,25358,25052,23351,27197,267,295,593,932,79,56,1168,1200,26346,26049,24010,27901,583,638,1000,1328,145,132,48516,52715,23668,23587,23004,26867,158,224,558,901,57,41,1071,1095,24574,24507,23607,27509,429,522,938,1268,121,106,2300,2017,1690,1465,347,330,109,71,35,31,22,15,97,105,1772,1542,403,392,154,116,62,60,24,26
341,"Syracuse, NY MSA","652,956","662,057",658281,1,214.7,0.06,0,"41,735",13.8,1,1807,1,662057,660894,658281,-1163,-2613,1698,6551,1838,7264,-140,-713,13,457,-1025,-2453,-1012,-1996,1,-11,96,"662,068","324,193",337875,273610,283517,28850,31365,2708,2900,9463,10399,155,155,9407,9539,282276,292220,34648,37412,4881,5144,11865,12817,426,402,308268,322009,262689,272772,25977,28242,2038,2301,9305,10232,89,101,8170,8361,270201,280384,30899,33419,3846,4193,11608,12547,314,320,15925,15866,10921,10745,2873,3123,670,599,158,167,66,54,1237,1178,12075,11836,3749,3993,1035,951,257,270,112,82
342,"Tallahassee, FL MSA","392,645","384,298",385776,0,323.3,0.06,0,"23,425",18.7,1,2028,1,384298,384546,385776,248,1230,928,3747,958,3667,-30,80,4,210,273,881,277,1091,0,1,59,384301,185655,198646,116060,118890,59059,68423,839,806,5423,5738,173,154,4101,4635,119668,122924,61317,71009,1857,1980,6715,7217,389,396,170644,183617,103284,106422,57754,66942,562,538,5284,5599,91,88,3669,4028,106490,109894,59763,69149,1467,1562,6492,6960,278,299,15011,15029,12776,12468,1305,1481,277,268,139,139,82,66,432,607,13178,13030,1554,1860,390,418,223,257,111,97
343,"Tampa-St. Petersburg-Clearwater, FL","3,342,963","3,175,275",3219514,1,,0.15,1,"468,193",13,1,9254,1,3175275,3183385,3219514,8110,36129,7331,30692,9725,39983,-2394,-9291,342,3536,10278,42089,10620,45625,0,-116,-205,"3,175,291","1,551,269",1624022,1239416,1285347,203769,222279,7772,7576,57055,64101,1902,2022,41355,42697,1276882,1323801,227286,246582,16982,17240,70623,78415,4062,4262,1225812,1297580,951667,996784,182360,200573,3709,3864,55152,62067,1119,1245,31805,33047,980169,1026190,199647,218615,10323,10926,66718,74299,2852,3049,325457,326442,287749,288563,21409,21706,4063,3712,1903,2034,783,777,9550,9650,296713,297611,27639,27967,6659,6314,3905,4116,1210,1213
344,"Terre Haute, IN MSA","168,787","168,875",184910,0,,0.02,0,"3,638",16.3,1,,0,185031,184784,184910,-247,126,478,1928,579,2436,-101,-508,0,77,-140,526,-140,603,0,-6,31,"168,874","85,971",82903,77040,76266,5566,3312,315,301,1229,1255,33,45,1788,1724,78756,77907,6659,4376,774,747,1563,1569,90,104,83475,81207,74861,74861,5440,3219,262,237,1214,1244,24,35,1674,1611,76469,76399,6466,4224,675,628,1537,1539,78,92,2496,1696,2179,1405,126,93,53,64,15,11,9,10,114,113,2287,1508,193,152,99,119,26,30,12,12
345,"Texarkana, TX-AR MSA","145,907","147,519",147174,0,,0.03,0,"4,657",16.9,1,676,0,147519,147333,147174,-186,-159,392,1651,495,2016,-103,-365,2,2,-84,178,-82,180,0,-1,26,"147,524","73,759",73765,52164,51369,18136,19001,835,790,701,791,83,68,1840,1746,53871,52969,19151,20004,1517,1420,982,1066,167,145,68146,69803,47504,48175,17786,18720,564,552,669,757,65,47,1558,1552,48953,49601,18691,19637,1100,1089,907,997,124,112,5613,3962,4660,3194,350,281,271,238,32,34,18,21,282,194,4918,3368,460,367,417,331,75,69,43,33
